Num Instance;# stations;# périodes;p;Val BSUP He;CPU BSUP He;Val NS 20;CPU NS 20;Val NS 50;CPU NS 50;Val NS 100;CPU NS 100;Val St(3);# etats St(3);CPU St(3);Val St(2);# etats St(2);CPU St(2);Val St(1);# etats St(1);CPU St(1);Val St(0);# etats St(0);CPU St(0);;;;VAL PL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;31;&;181;&;35,07;&;0,003;&;168;&;25,37;&;0,002;&;154;&;14,93;&;0,004;&;140;&;4,48;&;0,007;\\ \hline;31;&;140;&;4,48;&;29;&;0,001;&;134;&;536;&;0,014;&;42913;&;6,745;&;43867;&;6,977;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;32;&;1033;&;13,27;&;0,003;&;1014;&;11,18;&;0,008;&;990;&;8,55;&;0,017;&;970;&;6,36;&;0,03;\\ \hline;32;&;914;&;0,22;&;314;&;0,138;&;0;&;613249;&;3613,47;&;1020778;&;3856,31;&;1020778;&;3707,92;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;33;&;1017;&;6,38;&;0,002;&;1006;&;5,23;&;0,005;&;992;&;3,77;&;0,008;&;970;&;1,46;&;0,017;\\ \hline;33;&;967;&;1,15;&;59;&;0,006;&;956;&;7115;&;0,698;&;1610932;&;3673,96;&;1610932;&;3844,4;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;34;&;1535;&;11,88;&;0,003;&;1535;&;11,88;&;0,013;&;1524;&;11,08;&;0,031;&;1513;&;10,28;&;0,061;\\ \hline;34;&;1372;&;0;&;642;&;0,63;&;0;&;1550626;&;3602,32;&;1559487;&;3710,34;&;1559487;&;3862,77;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;35;&;1407;&;4,53;&;0,003;&;1402;&;4,16;&;0,008;&;1381;&;2,6;&;0,014;&;1371;&;1,86;&;0,024;\\ \hline;35;&;1354;&;0,59;&;106;&;0,03;&;1346;&;261078;&;408,826;&;1067321;&;3799,09;&;1115578;&;4056,97;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;36;&;1398;&;8,29;&;0,003;&;1390;&;7,67;&;0,009;&;1376;&;6,58;&;0,019;&;1361;&;5,42;&;0,035;\\ \hline;36;&;1292;&;0,08;&;429;&;0,371;&;0;&;909386;&;4080,64;&;1118045;&;3751,39;&;1118045;&;3684,39;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;37;&;1356;&;-;&;0,003;&;1343;&;-;&;0,03;&;1324;&;-;&;0,06;&;1318;&;-;&;0,111;\\ \hline;37;&;1288;&;-;&;410;&;0,712;&;0;&;703595;&;3809,08;&;1019333;&;3769,64;&;1169832;&;3678,05;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;38;&;2553;&;-;&;0,028;&;2551;&;-;&;0,027;&;2518;&;-;&;0,049;&;2490;&;-;&;0,093;\\ \hline;38;&;2427;&;-;&;390;&;0,443;&;0;&;872810;&;3701,67;&;764772;&;3664,77;&;1256433;&;3631,32;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;39;&;2457;&;-;&;0,046;&;2449;&;-;&;0,039;&;2449;&;-;&;0,085;&;2449;&;-;&;0,161;\\ \hline;39;&;2218;&;-;&;442;&;1,936;&;0;&;2238483;&;3642,79;&;2010204;&;3654,53;&;2238483;&;3660,75;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;40;&;2807;&;-;&;0,004;&;2780;&;-;&;0,034;&;2751;&;-;&;0,063;&;2733;&;-;&;0,115;\\ \hline;40;&;2657;&;-;&;609;&;1,433;&;0;&;1137757;&;3646,6;&;918477;&;3839,88;&;1227651;&;3759,62;\\ \hline
